PHOTRON DONGLE LICENSE DEFINITION								
VERSION	1_1							
comment			comma delimiter					
PRODUCT-HEADER	id	name	features	valid_for_dongle				
PRODUCT	2	PFA	1	No				
PRODUCT	3	PFV4 NI DAQ	2	Yes				
PRODUCT	4	PFA trial	1	No				
PRODUCT	5	6D MARKER Analyst	3	Yes								
comment						max # of concurrenty		
comment			Yes/No	Yes/No	Yes/No	0=Unlimited	Per Station/Per Process/Per Login	Yes/No
FEATURE-HEADER	id	name	valid_for_dongle	remote_desktop_access	concurrency	concurrency_count	concurrency_count_criteria	concurrency_network_access
FEATURE	1	Simple tracking	No	No	No	0	Per Station	No
FEATURE	2	PFV4 NI DAQ	Yes	No	No	0	Per Station	No
FEATURE	3	6D Marker Analyst	Yes	No	No	0	Per Station	No
FEATURE	4	6D Marker Analyst Reserved	No	No	No	0	Per Station	No
